city,year,total_patents,active_applicants,new_applicants,new_patents,new_applicant_share,firm_pat,firm_active_n,firm_new_n,firm_new_pat,knowledge_pat,knowledge_active_n,knowledge_new_n,knowledge_new_pat,individual_pat,individual_active_n,individual_new_n,individual_new_pat,government_pat,government_active_n,government_new_n,government_new_pat,other_pat,other_active_n,other_new_n,other_new_pat,org_pat,org_active_n,org_new_n,org_new_pat,firm_new_share_total,firm_new_share_new,ln_firm_new_n,ln_firm_new_pat,ln_firm_pat,knowledge_new_share_total,knowledge_new_share_new,ln_knowledge_new_n,ln_knowledge_new_pat,ln_knowledge_pat,individual_new_share_total,individual_new_share_new,ln_individual_new_n,ln_individual_new_pat,ln_individual_pat,government_new_share_total,government_new_share_new,ln_government_new_n,ln_government_new_pat,ln_government_pat,other_new_share_total,other_new_share_new,ln_other_new_n,ln_other_new_pat,ln_other_pat,org_new_share_total,org_new_share_new,ln_org_new_n,ln_org_new_pat,ln_org_pat,incumbent_patents,incumbent_applicants,incumbent_share,ln_new_patents,ln_incumbent_patents,ln_incumbent_applicants,base_firm_share,base_knowledge_share,base_individual_share,base_org_share,high_base_firm_share,high_base_knowledge_share,high_base_individual_share,high_base_org_share
七台河,2008,10,10,5,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.791759469228055,1.791759469228055,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0.5,1.791759469228055,1.791759469228055,1.791759469228055,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2009,18,16,12,12,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,14.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.1111111111111111,0.16666666666666666,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.8333333333333334,2.3978952727983707,2.3978952727983707,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,1.0986122886681098,1.0986122886681098,1.0986122886681098,6,4,0.3333333333333333,2.5649493574615367,1.9459101490553132,1.6094379124341003,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2010,14,12,8,10,0.7142857142857143,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.07142857142857142,0.1,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.8,1.9459101490553132,2.1972245773362196,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.1,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.14285714285714285,0.2,1.0986122886681098,1.0986122886681098,1.0986122886681098,4,4,0.2857142857142857,2.3978952727983707,1.6094379124341003,1.6094379124341003,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2011,20,16,8,11,0.55,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,12.0,7.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,4.0,1.0,3.0,0.15,0.2727272727272727,0.6931471805599453,1.3862943611198906,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.4,0.7272727272727273,2.0794415416798357,2.1972245773362196,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.15,0.2727272727272727,0.6931471805599453,1.3862943611198906,1.9459101490553132,9,8,0.45,2.4849066497880004,2.302585092994046,2.1972245773362196,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2012,23,16,11,15,0.6521739130434783,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,18.0,12.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,3.0,4.0,0.17391304347826086,0.26666666666666666,1.3862943611198906,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.7333333333333333,2.1972245773362196,2.4849066497880004,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.17391304347826086,0.26666666666666666,1.3862943611198906,1.6094379124341003,1.791759469228055,8,5,0.34782608695652173,2.772588722239781,2.1972245773362196,1.791759469228055,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2013,76,22,12,58,0.7631578947368421,47.0,6.0,6.0,47.0,0.0,0.0,0.0,0.0,29.0,16.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,6.0,6.0,47.0,0.618421052631579,0.8103448275862069,1.9459101490553132,3.871201010907891,3.871201010907891,0.0,0.0,0.0,0.0,0.0,0.14473684210526316,0.1896551724137931,1.9459101490553132,2.4849066497880004,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618421052631579,0.8103448275862069,1.9459101490553132,3.871201010907891,3.871201010907891,18,10,0.23684210526315788,4.07753744390572,2.9444389791664403,2.3978952727983707,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2014,23,13,6,8,0.3478260869565217,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,0.08695652173913043,0.25,1.0986122886681098,1.0986122886681098,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.75,1.6094379124341003,1.9459101490553132,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.25,1.0986122886681098,1.0986122886681098,1.9459101490553132,15,7,0.6521739130434783,2.1972245773362196,2.772588722239781,2.0794415416798357,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2015,83,28,17,27,0.3253012048192771,54.0,12.0,7.0,8.0,0.0,0.0,0.0,0.0,29.0,16.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,12.0,7.0,8.0,0.0963855421686747,0.2962962962962963,2.0794415416798357,2.1972245773362196,4.007333185232471,0.0,0.0,0.0,0.0,0.0,0.2289156626506024,0.7037037037037037,2.3978952727983707,2.995732273553991,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747,0.2962962962962963,2.0794415416798357,2.1972245773362196,4.007333185232471,56,11,0.6746987951807228,3.332204510175204,4.04305126783455,2.4849066497880004,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2016,34,18,11,16,0.4705882352941176,7.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,24.0,11.0,6.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,10.0,7.0,5.0,8.0,0.14705882352941177,0.3125,1.6094379124341003,1.791759469228055,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.5,1.9459101490553132,2.1972245773362196,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.1875,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.23529411764705882,0.5,1.791759469228055,2.1972245773362196,2.3978952727983707,18,7,0.5294117647058824,2.833213344056216,2.9444389791664403,2.0794415416798357,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
七台河,2017,23,17,13,15,0.6521739130434783,13.0,8.0,4.0,5.0,1.0,1.0,1.0,1.0,9.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,5.0,6.0,0.21739130434782608,0.3333333333333333,1.6094379124341003,1.791759469228055,2.6390573296152584,0.043478260869565216,0.06666666666666667,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.391304347826087,0.6,2.1972245773362196,2.302585092994046,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.4,1.791759469228055,1.9459101490553132,2.70805020110221,8,4,0.34782608695652173,2.772588722239781,2.1972245773362196,1.6094379124341003,0.07142857142857142,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0,1.0,0.0
