keyword,weight
云技术,0.037087118717567424
数码科技,0.03697394636701484
软件技术,0.03592223505071649
虚拟化,0.0350467524208724
软件工程,0.0342739412100267
数据科技,0.03416449688153638
电子技术,0.033512605103206826
计算机技术,0.03349098432462369
互联网化,0.0319012308172069
云应用,0.03138315596490797
网络科技,0.03104625653020728
通信技术,0.030673710675876795
智能经济,0.02936133854018133
智能技术,0.028392546326695228
数据化,0.027952723563992136
网络技术,0.027919488780448157
智能科技,0.026709739126786994
信息科技,0.02607326127624611
信息经济,0.024923025656637666
云端,0.02462075057230635
无人驾驶,0.02331172279489431
移动支付,0.023248550604189643
数字基础设施,0.0215054374220565
云服务,0.020536862772365647
移动通信,0.018600267917115915
智能终端,0.01703935922579681
数字产业,0.01681159369478013
互联网金融,0.014868562521598322
区块链,0.014839862456500773
云平台,0.014681363128841577
智能装备,0.013703934602763269
信息基础设施,0.013361606744768103
机器人,0.012600346332805906
智能工厂,0.012534397378356857
线上,0.01176471851175836
人工智能,0.010621083199647975
云计算,0.010350552328798354
软件,0.010087051746675697
物联网,0.009983605669268938
数据中心,0.0097371564204725
信息服务,0.009501541957456715
信息产业,0.009212312285849749
智能制造,0.008946585868687233
5G,0.008309656949917869
大数据,0.007977559443918682
信息技术,0.007204140061208885
智慧城市,0.006418426096852793
电子政务,0.006230989031154587
电商,0.005402763912555779
互联网,0.004906935833851306
电子商务,0.004271745178033146
Unnamed: 55,0.0
